,rastrigin_star,,,,,rastrigin_ring,,,,,rosenbrock_star,,,,,rosenbrock_ring,,,,
rd seed/N,128,256,512,1024,2048,128,256,512,1024,2048,128,256,512,1024,2048,128,256,512,1024,2048
18520173,20.894,17.9092,13.9294,20.8941,6.9647,79.1714,86.0476,83.5374,63.8451,63.1826,0,0,10002.2351,0,9.4257,12477.2008,46738.4607,17346.0608,17336.6034,6596.1201
18520174,16.9143,18.9042,5.9698,10.9445,14.9244,83.7092,65.3343,79.3978,64.2871,73.2693,5.4212,0,0,0,0,37437.7261,34334.1954,14335.959,11869.9287,16834.9294
18520175,12.9345,48.8238,24.8739,6.9647,10.9445,82.065,62.5993,87.441,58.7487,60.8207,0,5.4212,0,3.9866,5.4212,32164.9519,10834.4666,42911.702,8757.2413,9523.9977
18520176,9.9496,33.8285,31.9096,20.894,8.9546,87.6267,71.6385,69.2419,75.0906,69.5046,993.8671,0,0,9.4257,115.1912,40271.5891,20367.417,34976.6183,23358.5552,5327.1638
18520177,16.9143,16.9143,10.9445,26.8638,37.8793,87.8702,80.5435,71.811,81.8134,65.3448,0,79.0848,115.1912,0,9.4257,26184.5614,56534.5911,18610.9341,39385.1684,24768.8555
18520178,13.9294,35.8183,19.8992,15.9193,9.9496,71.0489,85.7858,68.4328,77.9472,61.9747,0,3.9866,0,0,0,53335.2811,28282.823,27549.9625,2198.4905,16762.6991
18520179,14.9244,12.9344,20.894,3.9798,19.8991,100.0378,85.7065,85.7065,62.8545,62.8545,0,993.8671,0,0,3.9866,117301.3597,16190.6188,36697.4435,13279.5659,13343.5494
18520180,23.879,14.9244,6.9647,36.8133,2.9849,81.1064,85.0627,84.4385,77.0655,49.5813,0,993.8671,3.9866,0,5.4212,21581.0096,31341.69,41440.2964,7644.9351,20938.3908
18520181,47.7578,46.8339,14.9244,18.9042,11.9395,90.76,79.5873,79.1303,67.4319,71.9629,118.491,0,5.4212,0,0,80856.4497,28366.4683,42315.4256,8334.822,17068.3047
18520182,6.9647,31.9096,18.9042,7.9597,13.9294,86.207,85.535,74.0772,70.6464,73.9893,0,115.1912,0,0,0,66819.1761,56371.5837,31989.1175,16348.6171,2090.0914
mean,18.5062,27.8801,16.9214,17.0137,13.837,84.9603,78.784,78.3215,69.973,65.2485,111.7779,219.1418,1012.6834,1.3412,14.8872,48842.9305,32936.2315,30817.352,14851.3928,13325.4102
std ,10.8006,12.6648,7.6433,9.5583,9.1208,7.2797,8.5577,6.6691,7.3057,6.998,296.1247,389.2147,2996.7106,2.9453,33.6231,30191.9367,15068.2192,10282.7935,9928.1873,6906.4434
